Time,Port,Metric,Value
2026-05-13 22:29:50.000,0,obytes,0
2026-05-13 22:29:50.000,0,imissed,0
2026-05-13 22:29:50.000,0,ibytes,810
2026-05-13 22:29:50.000,0,rx_nombuf,0
2026-05-13 22:29:50.000,0,ierrors,0
2026-05-13 22:29:50.000,0,ipackets,3
2026-05-13 22:29:50.000,0,oerrors,0
2026-05-13 22:29:50.000,0,opackets,0
2026-05-13 22:29:50.000,n,Value,1
2026-05-13 22:29:51.000,0,obytes,0
2026-05-13 22:29:51.000,0,imissed,0
2026-05-13 22:29:51.000,0,ibytes,810
2026-05-13 22:29:51.000,0,rx_nombuf,0
2026-05-13 22:29:51.000,0,ierrors,0
2026-05-13 22:29:51.000,0,ipackets,3
2026-05-13 22:29:51.000,0,oerrors,0
2026-05-13 22:29:51.000,0,opackets,0
2026-05-13 22:29:51.000,n,Value,1
2026-05-13 22:29:52.000,0,obytes,0
2026-05-13 22:29:52.000,0,imissed,0
2026-05-13 22:29:52.000,0,ibytes,810
2026-05-13 22:29:52.000,0,rx_nombuf,0
2026-05-13 22:29:52.000,0,ierrors,0
2026-05-13 22:29:52.000,0,ipackets,3
2026-05-13 22:29:52.000,0,oerrors,0
2026-05-13 22:29:52.000,0,opackets,0
2026-05-13 22:29:52.000,n,Value,1
2026-05-13 22:29:53.000,0,obytes,0
2026-05-13 22:29:53.000,0,imissed,0
2026-05-13 22:29:53.000,0,ibytes,810
2026-05-13 22:29:53.000,0,rx_nombuf,0
2026-05-13 22:29:53.000,0,ierrors,0
2026-05-13 22:29:53.000,0,ipackets,3
2026-05-13 22:29:53.000,0,oerrors,0
2026-05-13 22:29:53.000,0,opackets,0
2026-05-13 22:29:53.000,n,Value,1
2026-05-13 22:29:54.000,0,obytes,0
2026-05-13 22:29:54.000,0,imissed,0
2026-05-13 22:29:54.000,0,ibytes,810
2026-05-13 22:29:54.000,0,rx_nombuf,0
2026-05-13 22:29:54.000,0,ierrors,0
2026-05-13 22:29:54.000,0,ipackets,3
2026-05-13 22:29:54.000,0,oerrors,0
2026-05-13 22:29:54.000,0,opackets,0
2026-05-13 22:29:54.000,n,Value,1
2026-05-13 22:29:55.000,0,obytes,0
2026-05-13 22:29:55.000,0,imissed,0
2026-05-13 22:29:55.000,0,ibytes,810
2026-05-13 22:29:55.000,0,rx_nombuf,0
2026-05-13 22:29:55.000,0,ierrors,0
2026-05-13 22:29:55.000,0,ipackets,3
2026-05-13 22:29:55.000,0,oerrors,0
2026-05-13 22:29:55.000,0,opackets,0
2026-05-13 22:29:55.000,n,Value,1
2026-05-13 22:29:56.000,0,obytes,0
2026-05-13 22:29:56.000,0,imissed,0
2026-05-13 22:29:56.000,0,ibytes,810
2026-05-13 22:29:56.000,0,rx_nombuf,0
2026-05-13 22:29:56.000,0,ierrors,0
2026-05-13 22:29:56.000,0,ipackets,3
2026-05-13 22:29:56.000,0,oerrors,0
2026-05-13 22:29:56.000,0,opackets,0
2026-05-13 22:29:56.000,n,Value,1
2026-05-13 22:29:57.000,0,obytes,0
2026-05-13 22:29:57.000,0,imissed,0
2026-05-13 22:29:57.000,0,ibytes,810
2026-05-13 22:29:57.000,0,rx_nombuf,0
2026-05-13 22:29:57.000,0,ierrors,0
2026-05-13 22:29:57.000,0,ipackets,3
2026-05-13 22:29:57.000,0,oerrors,0
